original,term,score
kuģis,tvaikonis,0.8232973217964172
kuģis,dzelzceļš,0.7931070923805237
kuģis,jahta,0.7912244200706482
kuģis,piestātne,0.7841503620147705
kuģis,osta,0.7831578254699707
kuģis,laiva,0.7732963562011719
kuģis,kuģītis,0.771335244178772
kuģis,automobilis,0.7680623531341553
kuģis,ierakums,0.7564509510993958
kuģis,plosts,0.7551109194755554
kuģis,šoseja,0.7542762160301208
kuģis,pasažieris,0.7518230080604553
kuģis,lidmašīna,0.7461009621620178
kuģis,tilts,0.7377167344093323
kuģis,stacija,0.7270709872245789
kuģis,dzelzsceļs,0.7237374782562256
kuģis,priekšgals,0.7207114100456238
kuģis,cietoksnis,0.7179892659187317
kuģis,izlūks,0.7178604006767273
kuģis,vads,0.7169079184532166
kuģis,ložmetējs,0.7091137766838074
kuģis,artilerija,0.7078782320022583
kuģis,punkts,0.7055482268333435
kuģis,Lielupe,0.7025972604751587
kuģis,kājnieks,0.6904035806655884
tvaikonis,dzelzceļš,0.884471595287323
tvaikonis,dzelzsceļs,0.8731899261474609
tvaikonis,šoseja,0.8659204840660095
tvaikonis,kuģītis,0.8612332344055176
tvaikonis,Daugavmala,0.8511855006217957
tvaikonis,motorlaiva,0.8499281406402588
tvaikonis,sliede,0.8494365811347961
tvaikonis,osta,0.8366004228591919
tvaikonis,attālums,0.8285124897956848
tvaikonis,Kaija,0.8252007365226746
tvaikonis,kuģis,0.8232972621917725
tvaikonis,piestātne,0.8221904039382935
tvaikonis,pasažieris,0.8213759660720825
tvaikonis,ierakums,0.8205932378768921
tvaikonis,josla,0.8158069252967834
tvaikonis,jahta,0.8147123456001282
tvaikonis,šaurums,0.813210666179657
tvaikonis,Rauna,0.8120769262313843
tvaikonis,Lielupe,0.8086238503456116
tvaikonis,stiga,0.8076403737068176
tvaikonis,sēklis,0.8063847422599792
tvaikonis,automobilis,0.8016546368598938
tvaikonis,uzbērums,0.7975971102714539
tvaikonis,grīva,0.7967755794525146
tvaikonis,ložmetējs,0.7957313656806946
velosipēds,pašulaik,0.8509587645530701
velosipēds,kulba,0.8495947122573853
velosipēds,Jaunjelgava,0.847740888595581
velosipēds,raibaļa,0.8457252979278564
velosipēds,savērpt,0.8427447080612183
velosipēds,maišeļs,0.8368446826934814
velosipēds,mietiņš,0.8364193439483643
velosipēds,pļāvejs,0.8352005481719971
velosipēds,spainītis,0.8340485692024231
velosipēds,taksometrs,0.8339777588844299
velosipēds,apmaukt,0.8334020376205444
velosipēds,salāts,0.8329387307167053
velosipēds,linsēkla,0.8325108885765076
velosipēds,vašons,0.8322346210479736
velosipēds,korporants,0.8310995101928711
velosipēds,naski,0.8309276103973389
velosipēds,ragavas,0.8274596333503723
velosipēds,vāgūzis,0.8268277645111084
velosipēds,gubenis,0.825705885887146
velosipēds,Suntaži,0.8255404829978943
velosipēds,galoša,0.8253443837165833
velosipēds,ratnīca,0.8252302408218384
velosipēds,kubuliņš,0.8247701525688171
velosipēds,maltuve,0.8244162797927856
